Chapter and subsection,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,,,Explicit ontological type,Number of UFO types,Harmful Event,Hazardous Event
"IEC 61508-4:2010, 3.5.14","where the safety function is only performed on demand, in order to transfer the EUC into a specified safe state, and where the frequency of demands is greater than one per year",Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",high demand mode,high demand mode: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.5.14",where the safety function retains the EUC in a safe state as part of normal operation,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",continuous mode,continuous mode: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.5.15",target probability of dangerous mode failures to be achieved in respect of the safety integrity requirements,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",target failure measure,target failure measure: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.5.16",risk reduction to be achieved by the E/E/PE safety-related systems and/or other risk reduction measures in order to ensure that the tolerable risk is not exceeded,Terminological definition - safety function/integrity concept,"Define safety functions, integrity levels and target failure concepts",necessary risk reduction,necessary risk reduction: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.1","abnormal condition that may cause a reduction in, or loss of, the capability of a functional unit to perform a required function",Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",fault,fault: Event/Situation,,,Implicit,2,,
"IEC 61508-4:2010, 3.6.2",use of techniques and procedures that aim to avoid the introduction of faults during any phase of the safety lifecycle of the safety-related system,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",fault avoidance,fault avoidance: Event/Moment,,,Implicit,2,,
"IEC 61508-4:2010, 3.6.3",ability of a functional unit to continue to perform a required function in the presence of faults or errors,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",fault tolerance,fault tolerance: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.4",termination of the ability of a functional unit to provide a required function or operation of a functional unit in any way other than as required,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",failure,failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.4 note 4",Failures are either random in hardware or systematic in hardware or software.,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",failure,failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.5","failure, occurring at a random time, which results from one or more of the possible degradation mechanisms in the hardware",Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",random hardware failure,random hardware failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.6","failure, related in a deterministic way to a certain cause, which can only be eliminated by a modification of the design or of the manufacturing process, operational procedures, documentation or other relevant factors",Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",systematic failure,systematic failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.6 note 3","Examples of causes of systematic failures include human error in the safety requirements specification, the design, manufacture, installation, operation of the hardware, and the design, implementation, etc. of the software.",Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",systematic failure / human error,systematic failure: Event; human error: Event/Situation,,,Implicit,2,,
"IEC 61508-4:2010, 3.6.7","failure of an element and/or subsystem and/or system that plays a part in implementing the safety function that prevents a safety function from operating when required or causes a safety function to fail such that the EUC is put into a hazardous or potentially hazardous state, or decreases the probability that the safety function operates correctly when required",Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",dangerous failure,dangerous failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.8","failure of an element and/or subsystem and/or system that plays a part in implementing the safety function that results in the spurious operation of the safety function to put the EUC or part thereof into a safe state or maintain a safe state, or increases the probability of the spurious operation of the safety function to put the EUC or part thereof into a safe state or maintain a safe state",Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",safe failure,safe failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.9",failure whose probability cannot be expressed as the simple product of the unconditional probabilities of the individual events that caused it,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",dependent failure,dependent failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.10","failure that is the result of one or more events, causing concurrent failures of two or more separate channels in a multiple channel system, leading to system failure",Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",common cause failure,common cause failure: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.11","discrepancy between a computed, observed or measured value or condition and the true, specified or theoretically correct value or condition",Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",error,error: Event/Situation,,,Implicit,2,,
"IEC 61508-4:2010, 3.6.12",erroneous changes to data content but no changes to the physical circuit itself,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",soft-error,soft-error: Situation,,,Implicit,1,,
"IEC 61508-4:2010, 3.6.13",no part failure,Terminological definition - fault/failure concept,"Define fault, failure, error and related causal concepts",no part failure,no part failure: Event,,,Implicit,1,,
